brand,year,mileage,price,fee per month
CHERY, 2014 , 78876, 59900.0,1139.0
KIA, 2010 , 125000, 69900.0,1330.0
TOYOTA, 2008 , 112585, 79890.0,1520.0
CHEVROLET, 2010 , 155000, 79900.0,1520.0
NISSAN, 2011 , 90010, 79900.0,1520.0
RENAULT, 2017 , 21384, 84900.0,1615.0
FORD, 2013 , 72000, 84900.0,1615.0
TATA, 2017 , 65558, 89900.0,1710.0
SUZUKI, 2015 , 71045, 89900.0,1710.0
NISSAN, 2011 , 115000, 89900.0,1710.0
FIAT, 2012 , 122699, 89900.0,1710.0
TATA, 2017 , 72500, 89900.0,1710.0
FORD, 2010 , 164000, 89900.0,1710.0
AUDI, 2001 , 152000, 89900.0,1710.0
CHEVROLET, 2012 , 103200, 89900.0,1710.0
TOYOTA, 2008 , 91273, 94900.0,1805.0
HYUNDAI, 2017 , 51935, 94900.0,1805.0
FORD, 2013 , 99110, 94950.0,1806.0
HYUNDAI, 2015 , 109595, 94990.0,1807.0
CHEVROLET, 2015 , 143000, 95000.0,1807.0
GWM, 2016 , 6297, 99000.0,1883.0
RENAULT, 2018 , 25500, 99800.0,1899.0
CHEVROLET, 2015 , 96000, 99800.0,1899.0
RENAULT, 2013 , 74800, 99800.0,1899.0
HYUNDAI, 2015 , 87161, 99900.0,1900.0
MAZDA, 2008 , 111001, 99900.0,1900.0
MERCEDES-BENZ, 2007 , 12000, 99900.0,1900.0
CHEVROLET, 2012 , 86000, 99900.0,1900.0
FORD, 2009 , 133681, 99900.0,1900.0
HYUNDAI, 2014 , 87000, 99900.0,1900.0
HYUNDAI, 2011 , 98500, 99900.0,1900.0
FORD, 2011 , 110000, 99900.0,1900.0
HONDA, 2015 , 71000, 99900.0,1900.0
RENAULT, 2014 , 67721, 99900.0,1900.0
RENAULT, 2015 , 63000, 99900.0,1900.0
DATSUN, 2018 , 25155, 99900.0,1900.0
RENAULT, 2018 , 20103, 99900.0,1900.0
RENAULT, 2018 , 32416, 99900.0,1900.0
HYUNDAI, 2017 , 48695, 99900.0,1900.0
RENAULT, 2018 , 13614, 99900.0,1900.0
RENAULT, 2018 , 15123, 99900.0,1900.0
RENAULT, 2017 , 46372, 99900.0,1900.0
VOLVO, 2005 , 195000, 99900.0,1900.0
KIA, 2015 , 87269, 99900.0,1900.0
HYUNDAI, 2010 , 106000, 99900.0,1900.0
FORD, 2015 , 76000, 99900.0,1900.0
DATSUN, 2017 , 56434, 99990.0,1902.0
DATSUN, 2017 , 28000, 99990.0,1902.0
CHEVROLET, 2014 , 126982, 99990.0,1902.0
FIAT, 2014 , 91330, 99995.0,1902.0
CHEVROLET, 2014 , 42550, 99995.0,1902.0
VOLKSWAGEN, 2016 , 99200, 99995.0,1902.0
RENAULT, 2018 , 9535, 102900.0,1957.0
NISSAN, 2016 , 46400, 104800.0,1994.0
RENAULT, 2019 , 1076, 104900.0,1996.0
RENAULT, 2019 , 1023, 104900.0,1996.0
RENAULT, 2019 , 15671, 104900.0,1996.0
RENAULT, 2018 , 31138, 104900.0,1996.0
RENAULT, 2019 , 16046, 104900.0,1996.0
RENAULT, 2018 , 28676, 104900.0,1996.0
RENAULT, 2019 , 27097, 104900.0,1996.0
KIA, 2015 , 84000, 104900.0,1996.0
HYUNDAI, 2016 , 130374, 104900.0,1996.0
KIA, 2014 , 59110, 104900.0,1996.0
HYUNDAI, 2010 , 124869, 104900.0,1996.0
HONDA, 2012 , 148000, 104950.0,1996.0
CHEVROLET, 2013 , 130500, 105000.0,1997.0
FORD, 2015 , 56000, 105900.0,2015.0
NISSAN, 2014 , 206850, 105900.0,2015.0
NISSAN, 2014 , 106218, 105900.0,2015.0
RENAULT, 2011 , 135000, 107800.0,2051.0
VOLVO, 2010 , 155000, 108700.0,2068.0
DODGE, 2013 , 166858, 109000.0,2074.0
CHEVROLET, 2013 , 97600, 109000.0,2074.0
